City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
206,Lagoa,PT,2020-02-23 21:43:56,39.05,-27.98,60.49,79,4,12.68,clear sky,0.0,0.0
207,Kalabo,ZM,2020-02-23 21:43:56,-14.97,22.68,69.55,95,100,1.7,heavy intensity rain,15.44,0.0
208,Baniachang,BD,2020-02-23 21:43:56,24.52,91.37,63.5,57,2,4.47,clear sky,0.0,0.0
209,Lorengau,PG,2020-02-23 21:43:56,-2.02,147.27,83.32,71,72,5.12,broken clouds,0.0,0.0
210,Coquimbo,CL,2020-02-23 21:41:09,-29.95,-71.34,66.2,63,49,14.99,scattered clouds,0.0,0.0
211,Fort Nelson,CA,2020-02-23 21:43:56,58.81,-122.7,28.4,42,20,2.24,few clouds,0.0,0.0
212,Waslala,NI,2020-02-23 21:43:56,13.23,-85.38,77.0,57,75,13.87,broken clouds,0.0,0.0
213,Saint George,US,2020-02-23 21:42:51,37.1,-113.58,57.0,40,0,20.8,clear sky,0.0,0.0
214,Santa Isabel Do Rio Negro,BR,2020-02-23 21:43:56,-0.41,-65.02,92.55,51,98,3.98,overcast clouds,0.0,0.0
215,Tarbagatay,RU,2020-02-23 21:43:56,51.48,107.36,-0.4,84,3,2.24,mist,0.0,0.0
216,Tankhoy,RU,2020-02-23 21:43:56,51.55,105.13,11.35,89,100,2.13,overcast clouds,0.0,0.0
217,Mayo,US,2020-02-23 21:42:19,38.89,-76.51,59.0,18,1,9.17,clear sky,0.0,0.0
218,Behbahan,IR,2020-02-23 21:43:56,30.6,50.24,57.2,67,89,1.72,overcast clouds,0.0,0.0
219,Gobo,JP,2020-02-23 21:43:56,33.88,135.15,41.0,74,20,9.17,few clouds,0.0,0.0
220,Turukhansk,RU,2020-02-23 21:43:56,65.82,87.98,13.62,94,100,13.04,light snow,0.0,0.63
221,Hondo,JP,2020-02-23 21:43:56,32.45,130.2,39.2,80,0,6.93,clear sky,0.0,0.0
222,Solnechnyy,RU,2020-02-23 21:43:57,50.72,136.63,0.01,92,0,1.34,clear sky,0.0,0.0
223,Tiksi,RU,2020-02-23 21:43:57,71.69,128.87,-8.19,87,100,7.85,overcast clouds,0.0,0.0
224,Asau,RO,2020-02-23 21:43:57,46.43,26.4,50.0,53,75,11.41,broken clouds,0.0,0.0
225,Saldanha,ZA,2020-02-23 21:43:57,-33.01,17.94,71.6,46,0,4.7,clear sky,0.0,0.0
226,Nazca,PE,2020-02-23 21:43:57,-14.83,-74.95,77.27,64,100,10.38,light rain,0.38,0.0
227,Ponta Delgada,PT,2020-02-23 21:43:57,37.73,-25.67,59.0,82,20,3.36,few clouds,0.0,0.0
228,Ulladulla,AU,2020-02-23 21:40:31,-35.35,150.47,69.8,68,13,6.93,few clouds,0.0,0.0
229,Batagay-Alyta,RU,2020-02-23 21:43:57,67.8,130.41,-19.79,68,0,3.87,clear sky,0.0,0.0
